model,method,action_list_len,image_size,MAE,match_ratio
claude,self-refine,3.0,552960.0,101.70493071933964,1.0
claude,self-refine,15.0,8580480.0,99.20073190163625,1.0
claude,self-refine,3.0,2494080.0,14.65343509152216,1.0
claude,self-refine,75.0,9191040.0,105.27098259654473,0.32
claude,self-refine,6.0,1910400.0,50.19505454009434,1.0
claude,self-refine,4.0,664320.0,108.22022769325658,1.0
claude,self-refine,70.0,3964800.0,106.56456254376752,0.22857
claude,self-refine,117.0,4396800.0,83.30189211829837,0.03419
claude,self-refine,47.0,6539520.0,82.8720070167824,0.06383
claude,self-refine,8.0,374400.0,108.97141558569184,1.0
claude,self-refine,4.0,1910400.0,63.92222947017468,1.0
claude,self-refine,96.0,2261760.0,69.6848771729034,0.11458
claude,self-refine,147.0,5882880.0,85.70689086914062,0.0204099999999999
claude,self-refine,4.0,744960.0,81.80274665880503,1.0
claude,self-refine,94.0,9204480.0,98.63834159044715,0.0957399999999999
claude,self-refine,9.0,1455360.0,55.99716981132075,1.0
claude,self-refine,1.0,1772160.0,59.96320754716981,0.0
claude,self-refine,96.0,5546880.0,95.63734298406862,0.01042
claude,self-refine,6.0,1910400.0,30.95860849056604,0.83333
claude,self-refine,62.0,10752000.0,102.30165178571428,0.37097
claude,self-refine,39.0,3409920.0,62.549604419926006,0.3333299999999999
claude,self-refine,1.0,1236480.0,67.501564956761,1.0
gpt4o,cot,16.0,7200000.0,73.37396380009542,1.0
gpt4o,cot,4.0,737280.0,77.62525040064102,0.75
gpt4o,cot,11.0,1910400.0,18.67959414308176,1.0
gpt4o,cot,7.0,1524480.0,34.35059699292453,1.0
gpt4o,cot,5.0,675840.0,92.74521422955976,1.0
gpt4o,cot,49.0,10039680.0,105.83184673016936,0.2448999999999999
gpt4o,cot,8.0,1507200.0,47.42915438286163,1.0
gpt4o,cot,4.0,1259520.0,43.99061025943397,1.0
gpt4o,cot,7.0,2384640.0,79.11777069117039,1.0
gpt4o,cot,11.0,1910400.0,48.91923215759075,1.0
gpt4o,cot,3.0,3767040.0,41.205319010416666,1.0
gpt4o,cot,92.0,11057280.0,39.975423045930704,0.06522
gpt4o,cot,140.0,12174720.0,80.57952149485513,0.09286
gpt4o,cot,78.0,6512640.0,90.02943654483852,0.5
gpt4o,cot,4.0,622080.0,83.73514887971699,1.0
gpt4o,cot,5.0,675840.0,53.294396128144655,1.0
gpt4o,cot,20.0,1910400.0,51.37574308548851,1.0
gpt4o,cot,165.0,10494720.0,101.22377344601269,0.11515
gpt4o,cot,91.0,10275840.0,110.57303406762296,0.2417599999999999
gpt4o,cot,4.0,768000.0,77.9719560731132,1.0
gpt4o,cot,1.0,1973760.0,76.6575383565512,1.0
gpt4o,cot,35.0,3158400.0,75.33233001569634,0.88571
gpt4o,cot,53.0,4344960.0,71.71060897897465,0.18868
gpt4o,cot,12.0,9594240.0,100.15605402317176,1.0
gpt4o,cot,3.0,760320.0,75.21200127751572,1.0
gpt4o,cot,5.0,3125760.0,136.46782594086022,1.0
gpt4o,cot,30.0,7344000.0,98.12188158641376,0.36667
gpt4o,cot,54.0,7184640.0,111.7458159672946,0.31481
gpt4o,cot,96.0,9285120.0,87.9333917025862,0.16667
gpt4o,cot,4.0,2440320.0,29.51124491494083,1.0
gpt4o,cot,2.0,3162240.0,34.136964929764616,1.0
gpt4o,cot,78.0,5516160.0,100.36552372685183,0.44872
gpt4o,cot,4.0,622080.0,81.7953436766432,1.0
gpt4o,cot,21.0,1378560.0,60.77785966981132,0.95238
gpt4o,cot,67.0,5387520.0,89.51268415178572,0.1791
gpt4o,cot,5.0,1489920.0,43.49150452044025,1.0
gpt4o,cot,52.0,2718720.0,58.63065387378426,0.65385
gpt4o,cot,55.0,2807040.0,48.80365487092973,0.83636
gpt4o,cot,68.0,2999040.0,49.700926169371,0.13235
gpt4o,cot,4.0,1820160.0,25.05806800314465,1.0
gpt4o,cot,119.0,4239360.0,80.76407566713483,0.05042
gpt4o,cot,2.0,2263680.0,27.19324533903928,1.0
gpt4o,cot,127.0,4757760.0,81.93699363425925,0.06299
gpt4o,cot,127.0,2507520.0,21.97959695282567,0.0866099999999999
gpt4o,cot,22.0,5781120.0,84.26918176444273,0.8636400000000001
gpt4o,cot,4.0,483840.0,80.9834807389937,1.0
gpt4o,cot,32.0,1002240.0,75.33634286556604,0.625
gpt4o,cot,3.0,1198080.0,50.08158411949685,1.0
gpt4o,cot,2.0,1910400.0,40.32717914701258,1.0
gpt4o,cot,11.0,314880.0,108.14491450471698,1.0
gpt4o,cot,4.0,867840.0,75.41948457154088,1.0
gpt4o,cot,146.0,12984960.0,116.21133679735476,0.10274
gpt4o,cot,2.0,2538240.0,43.71806381687973,1.0
gpt4o,cot,7.0,1228800.0,44.644307684748426,1.0
gpt4o,cot,129.0,11894400.0,104.90518278612868,0.16279
gpt4o,cot,27.0,2605440.0,83.56236654547553,1.0
gpt4o,cot,48.0,2559360.0,44.118086120892016,0.77083
gpt4o,cot,1.0,2309760.0,40.16793619791667,1.0
gpt4o,cot,4.0,445440.0,92.08213443396228,0.75
gpt4o,cot,4.0,2824320.0,49.0775603210034,1.0
gpt4o,cot,37.0,2699520.0,70.04707344585562,0.62162
gpt4o,cot,103.0,5207040.0,70.22198182838397,0.30097
gpt4o,cot,139.0,7651200.0,78.02643734852221,0.07914
gpt4o,cot,1.0,6309120.0,7.457053023968784,1.0
gpt4o,cot,1.0,2309760.0,17.5427490234375,1.0
gpt4o,cot,5.0,633600.0,86.14559502751572,1.0
